iterations,fitness,time,fevals
0,63.0,0.001343909,464
10,68.0,0.001939018,831
20,70.0,0.002789418,1202
30,69.0,0.003401261,1570
40,70.0,0.003958112,1935
50,72.0,0.00479075,2294
60,75.0,0.00544706,2668
70,74.0,0.007921447,3035
80,75.0,0.008567094,3408
90,75.0,0.009330844,3771
100,75.0,0.010118684,4135
110,75.0,0.010805359,4507
120,76.0,0.011420076,4873
130,76.0,0.012041701,5245
140,76.0,0.012578145,5610
150,77.0,0.01316071,5980
160,77.0,0.014667439,6340
170,79.0,0.015371655,6707
180,79.0,0.015993421,7070
190,80.0,0.016674503,7437
200,80.0,0.017375102,7805
210,79.0,0.018119,8172
220,78.0,0.018827727,8538
230,79.0,0.019519272,8903
240,80.0,0.020173741,9265
250,80.0,0.02067201,9633
260,80.0,0.021220832,9995
270,79.0,0.021971532,10360
280,82.0,0.022700048,10734
290,81.0,0.023192091,11100
300,80.0,0.023666306,11462
310,82.0,0.024203973,11828
320,82.0,0.024755925,12188
330,81.0,0.025682113,12555
340,83.0,0.02664929,12926
350,82.0,0.027291436,13294
360,81.0,0.028079807,13658
370,82.0,0.028807427,14015
380,82.0,0.029355574,14371
390,82.0,0.029931862,14737
400,83.0,0.030500228,15108
410,83.0,0.031084355,15477
420,83.0,0.031820765,15842
430,82.0,0.07273116,16211
440,83.0,0.077245175,16577
450,85.0,0.078408027,16948
460,85.0,0.079773393,17317
470,86.0,0.080532091,17682
480,85.0,0.081394722,18052
490,85.0,0.082414281,18414
500,84.0,0.082957045,18777
510,85.0,0.08355809,19147
520,86.0,0.084396352,19510
530,85.0,0.08513804,19877
540,85.0,0.086205376,20239
550,85.0,0.086769788,20611
560,84.0,0.0873522,20976
570,84.0,0.112407615,21337
580,84.0,0.113130276,21712
590,85.0,0.114662908,22080
600,85.0,0.115622799,22455
610,85.0,0.116578795,22816
620,85.0,0.119321579,23185
630,87.0,0.120964616,23548
640,87.0,0.124046374,23917
650,88.0,0.126722495,24293
660,87.0,0.128734397,24656
670,87.0,0.130603129,25013
680,87.0,0.13180348,25370
690,88.0,0.132984347,25734
700,89.0,0.134415639,26098
710,88.0,0.135727543,26471
720,89.0,0.136940241,26840
730,89.0,0.143165729,27207
740,90.0,0.143729023,27580
750,90.0,0.144288401,27943
760,89.0,0.148195008,28314
770,89.0,0.149411147,28685
780,89.0,0.150235104,29050
790,89.0,0.150930376,29410
800,89.0,0.151488645,29774
810,88.0,0.152221794,30140
820,88.0,0.152924653,30503
830,88.0,0.153570955,30868
840,88.0,0.154310041,31231
850,87.0,0.157568829,31597
860,87.0,0.159143638,31960
870,86.0,0.169049697,32322
880,86.0,0.169747523,32691
890,86.0,0.171259735,33058
900,86.0,0.172416551,33423
910,86.0,0.174893756,33793
920,87.0,0.177911685,34156
930,87.0,0.181973262,34527
940,87.0,0.189688931,34895
950,88.0,0.191944996,35254
960,87.0,0.196904892,35614
970,88.0,0.201914377,35981
980,87.0,0.205554476,36347
990,88.0,0.209002427,36718
1000,89.0,0.214014178,37083
1010,88.0,0.218159122,37446
1020,88.0,0.220500936,37809
1030,88.0,0.222313819,38167
1040,87.0,0.225285186,38535
1050,87.0,0.228432766,38907
1060,88.0,0.230789897,39272
1070,88.0,0.232732772,39638
1080,87.0,0.23748755,40008
1090,88.0,0.240856012,40375
1100,90.0,0.245244255,40741
1110,88.0,0.248093434,41111
1120,87.0,0.250489128,41484
1130,89.0,0.25430013,41841
1140,89.0,0.257128655,42209
1150,89.0,0.260524236,42577
1160,88.0,0.266476092,42948
1170,87.0,0.269171405,43310
1180,88.0,0.277193666,43690
1190,88.0,0.29118936,44050
1200,87.0,0.294765493,44417
1210,88.0,0.301361377,44782
1220,89.0,0.309310559,45154
1230,88.0,0.31755685,45518
1240,87.0,0.322413837,45889
1250,88.0,0.328214036,46255
1260,88.0,0.339218535,46620
1270,90.0,0.340909798,46985
1280,89.0,0.347059337,47361
1290,88.0,0.358152489,47728
1300,89.0,0.368771745,48088
1310,88.0,0.374834797,48453
1320,88.0,0.405940311,48830
1330,89.0,0.466157823,49191
1340,88.0,0.527332419,49550
1350,89.0,0.528478246,49914
1360,88.0,0.529615545,50280
1370,89.0,0.530542401,50647
1380,89.0,0.53149335,51021
1390,89.0,0.532513104,51384
