iterations,fitness,time,fevals
0,87.0,0.177583301,1000
10,95.0,0.330757876,2100
20,96.0,0.462480161,3200
30,98.0,0.607218763,4300
40,97.0,0.724442872,5400
50,97.0,0.845103592,6500
60,97.0,0.970533314,7600
70,97.0,1.09691347,8700
80,97.0,1.214826245,9800
90,97.0,1.332391702,10900
100,98.0,1.44435521,12000
110,98.0,1.579421165,13100
120,97.0,1.698171509,14200
130,98.0,1.807360004,15300
140,98.0,1.926311474,16400
150,98.0,2.030817909,17500
160,98.0,2.143386479,18600
170,98.0,2.264082198,19700
180,98.0,2.396373011,20800
190,97.0,2.524018731,21900
200,97.0,2.640053636,23000
210,97.0,2.765204247,24100
220,98.0,2.893544913,25200
230,97.0,3.01852012,26300
240,98.0,3.133731074,27400
250,97.0,3.268998912,28500
260,98.0,3.405901402,29600
270,98.0,3.527617041,30700
280,98.0,3.644641004,31800
290,98.0,3.751115587,32900
300,98.0,3.876518825,34000
310,98.0,4.000229401,35100
320,97.0,4.121605207,36200
330,98.0,4.231991036,37300
340,99.0,4.358780027,38400
350,98.0,4.488773224,39500
360,99.0,4.62361318,40600
370,98.0,4.747491418,41700
380,99.0,4.864641652,42800
390,99.0,4.991625522,43900
400,98.0,5.120086055,45000
410,99.0,5.297988044,46100
420,98.0,5.415458042,47200
430,99.0,5.576043175,48300
440,98.0,5.686734069,49400
450,99.0,5.800144503,50500
460,98.0,5.952007101,51600
470,99.0,6.106771303,52700
480,98.0,6.227785936,53800
490,98.0,6.353100733,54900
500,98.0,6.478653075,56000
510,98.0,6.602782394,57100
520,99.0,6.742758693,58200
530,98.0,6.861492155,59300
540,98.0,6.996810783,60400
550,98.0,7.134179618,61500
560,98.0,7.250929882,62600
570,99.0,7.379376236,63700
580,98.0,7.516494406,64800
590,99.0,7.661312216,65900
600,99.0,7.782820478,67000
610,98.0,7.928385137,68100
620,99.0,8.067963294,69200
630,99.0,8.203171239,70300
640,99.0,8.348166396,71400
650,98.0,8.471338433,72500
660,99.0,8.606921666,73600
670,99.0,8.749748263,74700
680,98.0,8.870688222,75800
690,98.0,9.000043599,76900
700,98.0,9.13527902,78000
710,98.0,9.28029483,79100
720,98.0,9.429448086,80200
730,98.0,9.655813444,81300
740,98.0,9.906245319,82400
750,98.0,10.152767655,83500
760,99.0,10.395439601,84600
770,98.0,10.65206431,85700
780,98.0,10.915031955,86800
790,98.0,11.058641766,87900
800,99.0,11.22887474,89000
810,98.0,11.431117726,90100
820,98.0,11.619410099,91200
830,98.0,11.857386761,92300
840,98.0,12.096753529,93400
850,99.0,12.304333531,94500
860,99.0,12.54934946,95600
870,98.0,12.704181292,96700
880,98.0,12.866367596,97800
890,98.0,13.003306324,98900
900,98.0,13.117663513,100000
910,98.0,13.238198698,101100
920,98.0,13.354736885,102200
930,98.0,13.472935208,103300
940,99.0,13.605155012,104400
950,98.0,13.749043397,105500
960,98.0,13.941075853,106600
970,99.0,14.109609517,107700
980,98.0,14.239719699,108800
990,99.0,14.353510777,109900
1000,98.0,14.46271409,111000
1010,99.0,14.605739609,112100
1020,99.0,14.735842893,113200
1030,98.0,14.848208531,114300
1040,99.0,14.957594238,115400
1050,99.0,15.101586767,116500
1060,99.0,15.225946865,117600
1070,99.0,15.348114389,118700
1080,98.0,15.46526437,119800
1090,99.0,15.581242087,120900
1100,98.0,15.711676549,122000
1110,98.0,15.849747026,123100
1120,98.0,15.989180599,124200
1130,99.0,16.106314564,125300
1140,99.0,16.257505353,126400
1150,99.0,16.386171774,127500
1160,98.0,16.509165455,128600
1170,99.0,16.623343956,129700
1180,99.0,16.72260086,130800
1190,99.0,16.8281934,131900
1200,99.0,16.960133107,133000
1210,98.0,17.096251187,134100
1220,98.0,17.232351014,135200
1230,98.0,17.387975624,136300
1240,99.0,17.527617476,137400
1250,99.0,17.666263753,138500
1260,98.0,17.787845606,139600
1270,99.0,17.921105275,140700
1280,99.0,18.045964509,141800
1290,98.0,18.171881516,142900
1300,98.0,18.315984423,144000
1310,99.0,18.43256829,145100
1320,98.0,18.543178527,146200
1330,99.0,18.658486753,147300
1340,99.0,18.790178204,148400
1350,99.0,18.931017579,149500
1360,99.0,19.07523529,150600
1370,99.0,19.178878317,151700
1380,98.0,19.321155887,152800
1390,98.0,19.431777625,153900
