iterations,fitness,time,fevals
0,49.0,2.0093e-05,11
10,44.0,3.9225e-05,21
20,47.0,6.7615e-05,31
30,52.0,8.6545e-05,41
40,53.0,0.000110217,51
50,55.0,0.000450702,61
60,59.0,0.00046994,71
70,60.0,0.000488925,81
80,65.0,0.000508062,91
90,67.0,0.000529475,101
100,69.0,0.000549119,111
110,69.0,0.000570781,121
120,71.0,0.000588991,131
130,74.0,0.000606222,141
140,75.0,0.000794023,151
150,80.0,0.00081386,161
160,81.0,0.000835286,171
170,82.0,0.000857079,181
180,83.0,0.000877922,191
190,85.0,0.000894669,201
200,85.0,0.00091983,211
210,86.0,0.000941278,221
220,86.0,0.000997864,231
230,87.0,0.001019035,241
240,87.0,0.00103692,251
250,88.0,0.001049081,261
260,89.0,0.001059192,271
270,89.0,0.001069469,281
280,90.0,0.001087506,291
290,90.0,0.00110039,301
300,91.0,0.001114135,311
310,91.0,0.001129109,321
320,91.0,0.001141558,331
330,92.0,0.001154202,341
340,92.0,0.001165344,351
350,92.0,0.001179022,361
360,93.0,0.001189019,371
370,94.0,0.001202007,381
380,94.0,0.001215293,391
390,94.0,0.001228965,401
400,95.0,0.001241748,411
410,96.0,0.001256866,421
420,96.0,0.001269058,431
430,96.0,0.001281568,441
440,97.0,0.001295757,451
450,97.0,0.001309793,461
460,97.0,0.001322279,471
470,97.0,0.00133355,481
480,97.0,0.001346553,491
490,97.0,0.001358139,501
500,97.0,0.001369046,511
510,97.0,0.001382474,521
520,97.0,0.001398036,531
530,97.0,0.001414549,541
540,97.0,0.001423521,551
550,97.0,0.001433318,561
560,97.0,0.001445438,571
570,97.0,0.001458251,581
580,97.0,0.001470281,591
590,98.0,0.001484732,601
600,98.0,0.001493546,611
610,98.0,0.001504557,621
620,98.0,0.001516133,631
630,98.0,0.001527282,641
640,98.0,0.001536797,651
650,98.0,0.001546519,661
660,98.0,0.001559837,671
670,99.0,0.001569907,681
680,99.0,0.001582775,691
690,99.0,0.001592151,701
700,99.0,0.00160624,711
710,99.0,0.001618218,721
720,99.0,0.00163137,731
730,99.0,0.001642282,741
740,99.0,0.001657143,751
750,99.0,0.001670478,761
760,99.0,0.001681546,771
770,99.0,0.001691629,781
780,100.0,0.001707548,791
790,100.0,0.001723374,801
800,100.0,0.001734827,811
810,100.0,0.001745635,821
820,100.0,0.001756524,831
830,100.0,0.001773234,841
840,100.0,0.001786468,851
850,100.0,0.001800776,861
860,100.0,0.001813214,871
870,100.0,0.001850709,881
880,100.0,0.001861364,891
890,100.0,0.001873019,901
900,100.0,0.001883694,911
910,100.0,0.001895179,921
920,100.0,0.001907555,931
930,100.0,0.001919826,941
940,100.0,0.001932038,951
950,100.0,0.001943964,961
960,100.0,0.001961062,971
970,100.0,0.001975064,981
980,100.0,0.001987786,991
990,100.0,0.001999843,1001
1000,100.0,0.002011118,1011
1010,100.0,0.002023441,1021
1020,100.0,0.002034256,1031
1030,100.0,0.002047975,1041
1040,100.0,0.002062719,1051
1050,100.0,0.002073276,1061
1060,100.0,0.002089151,1071
1070,100.0,0.002100057,1081
1080,100.0,0.002111521,1091
1090,100.0,0.002123214,1101
1100,100.0,0.002135987,1111
1110,100.0,0.002147715,1121
1120,100.0,0.002160561,1131
1130,100.0,0.002171829,1141
1140,100.0,0.002183662,1151
1150,100.0,0.002195294,1161
1160,100.0,0.002207509,1171
1170,100.0,0.002219662,1181
1180,100.0,0.002230635,1191
1190,100.0,0.002240806,1201
1200,100.0,0.002251486,1211
1210,100.0,0.002264122,1221
1220,100.0,0.002278815,1231
1230,100.0,0.002293711,1241
1240,100.0,0.002310417,1251
1250,100.0,0.002327813,1261
1260,100.0,0.002340398,1271
1270,100.0,0.002367538,1281
1280,100.0,0.002384095,1291
1290,100.0,0.002399537,1301
1300,100.0,0.002417106,1311
1310,100.0,0.002431196,1321
1320,100.0,0.002450487,1331
1330,100.0,0.002466629,1341
1340,100.0,0.00248319,1351
1350,100.0,0.002496372,1361
1360,100.0,0.002510226,1371
1370,100.0,0.002521309,1381
1380,100.0,0.002536956,1391
1390,100.0,0.002549739,1401
1400,100.0,0.002567191,1411
1410,100.0,0.002583274,1421
1420,100.0,0.002598377,1431
1430,100.0,0.002618835,1441
1440,100.0,0.002639007,1451
1450,100.0,0.002655376,1461
1460,100.0,0.002689581,1471
1470,100.0,0.002705229,1481
1480,100.0,0.00272089,1491
